DataZone,PostCode,Latitude,Longitude,Eastings,Northings,AvDistance,wkt,Picked
S01012389,"ZE2 9EG",60.79933145,-0.8213937,464139,1213440,82049,"POINT(464139 1213440)",0
S01012389,"ZE2 9GG",60.00150435,-1.23091497,442891,1124264,10167,"POINT(442891 1124264)",0
S01012389,"ZE2 9HH",60.00032578,-1.24455198,442132,1124124,10311,"POINT(442132 1124124)",0
S01012389,"ZE2 9HJ",60.00157261,-1.24586843,442057,1124262,10324,"POINT(442057 1124262)",0
S01012389,"ZE2 9HN",60.00481009,-1.23571613,442619,1124629,10166,"POINT(442619 1124629)",0
S01012389,"ZE2 9HP",60.00768247,-1.22469154,443230,1124956,10371,"POINT(443230 1124956)",0
S01012389,"ZE2 9HS",60.00557371,-1.22804074,443046,1124719,10225,"POINT(443046 1124719)",0
S01012389,"ZE2 9HT",60.00082213,-1.23096667,442889,1124188,10187,"POINT(442889 1124188)",0
S01012389,"ZE2 9HU",59.99949665,-1.24247301,442249,1124033,10294,"POINT(442249 1124033)",0
S01012389,"ZE2 9HW",59.99827272,-1.2280674,443054,1123906,10381,"POINT(443054 1123906)",0
S01012389,"ZE2 9HZ",60.00654815,-1.22728272,443087,1124828,10267,"POINT(443087 1124828)",0
S01012389,"ZE2 9JL",60.00277471,-1.23007852,442936,1124406,10164,"POINT(442936 1124406)",1
S01012389,"ZE2 9JN",60.00530271,-1.2480073,441933,1124676,10420,"POINT(441933 1124676)",0
S01012389,"ZE2 9NU",59.99647788,-1.24067741,442353,1123698,10459,"POINT(442353 1123698)",0
S01012389,"ZE2 9NZ",59.99650155,-1.24637827,442035,1123697,10573,"POINT(442035 1123697)",0
S01012389,"ZE2 9UE",60.37099894,-1.13204197,447864,1165477,37410,"POINT(447864 1165477)",0
S01012389,"ZE2 9UJ",60.37099894,-1.13204197,447864,1165477,37410,"POINT(447864 1165477)",0
S01012389,"ZE2 9WJ",59.99976933,-1.23369865,442738,1124069,10212,"POINT(442738 1124069)",0
S01011831,"KW17 2AE",59.12139665,-2.60963744,365102,1026174,11590,"POINT(365102 1026174)",0
S01011831,"KW17 2AF",59.09991915,-2.58682206,366387,1023771,12756,"POINT(366387 1023771)",0
S01011831,"KW17 2AG",59.11066531,-2.57584626,367026,1024962,12143,"POINT(367026 1024962)",0
S01011831,"KW17 2AJ",59.0947432,-2.59331451,366010,1023198,13154,"POINT(366010 1023198)",0
S01011831,"KW17 2AN",59.10085217,-2.65642959,362401,1023912,13629,"POINT(362401 1023912)",0
S01011831,"KW17 2AS",59.14108419,-2.58621534,366462,1028354,10851,"POINT(366462 1028354)",0
S01011831,"KW17 2AT",59.14176749,-2.63571237,363631,1028456,11233,"POINT(363631 1028456)",0
S01011831,"KW17 2AU",59.03848195,-2.57347104,367093,1016924,18528,"POINT(367093 1016924)",0
S01011831,"KW17 2AY",59.25461922,-2.5978444,365910,1041001,10626,"POINT(365910 1041001)",0
S01011831,"KW17 2AZ",59.28304074,-2.57892993,367016,1044156,12226,"POINT(367016 1044156)",0
S01011831,"KW17 2BA",59.22787723,-2.65830701,362433,1038056,11182,"POINT(362433 1038056)",0
S01011831,"KW17 2BB",59.25589541,-2.54870729,368713,1041119,10717,"POINT(368713 1041119)",0
S01011831,"KW17 2BE",59.36411435,-2.42486833,375851,1053117,20327,"POINT(375851 1053117)",0
S01011831,"KW17 2BG",59.38122194,-2.4084126,376798,1055016,22188,"POINT(376798 1055016)",0
S01011831,"KW17 2BJ",59.23382897,-2.59749812,365909,1038686,10069,"POINT(365909 1038686)",1
S01011831,"KW17 2BL",59.24426347,-2.57395958,367262,1039836,10144,"POINT(367262 1039836)",0
S01011831,"KW17 2BN",59.25636468,-2.57319842,367317,1041183,10544,"POINT(367317 1041183)",0
S01011831,"KW17 2BP",59.28368157,-2.45607421,374016,1044173,14055,"POINT(374016 1044173)",0
S01010698,"IV14 9AA",57.60126365,-4.52952478,248859,859597,26782,"POINT(248859 859597)",0
S01010698,"IV14 9AF",57.61238141,-4.48922002,251312,860745,28804,"POINT(251312 860745)",0
S01010698,"IV14 9AQ",57.58590873,-4.5449747,247872,857923,26307,"POINT(247872 857923)",0
S01010698,"IV14 9EW",57.57272597,-4.69686635,238737,856807,21244,"POINT(238737 856807)",0
S01010698,"IV22 2EE",57.57994743,-5.07421426,216218,858570,14956,"POINT(216218 858570)",0
S01010698,"IV22 2EG",57.58078925,-5.07175837,216369,858657,14956,"POINT(216369 858657)",0
S01010698,"IV22 2EH",57.57702043,-5.07960627,215881,858259,15040,"POINT(215881 858259)",0
S01010698,"IV22 2EJ",57.57438475,-5.08042084,215819,857968,15132,"POINT(215819 857968)",0
S01010698,"IV22 2EN",57.57999177,-5.07276211,216305,858571,14955,"POINT(216305 858571)",1
S01010698,"IV22 2EQ",57.57913776,-5.09777439,214806,858544,15286,"POINT(214806 858544)",0
S01010698,"IV22 2HJ",57.57830411,-5.17295627,210309,858659,17070,"POINT(210309 858659)",0
S01010698,"IV22 2PA",57.60576643,-5.29820918,202973,862071,20604,"POINT(202973 862071)",0
S01010698,"IV22 2PB",57.60506542,-5.29923421,202908,861996,20637,"POINT(202908 861996)",0
S01010698,"IV22 2PD",57.61361168,-5.3075978,202455,862971,21194,"POINT(202455 862971)",0
S01010698,"IV22 2PE",57.60183519,-5.30381441,202617,861650,20851,"POINT(202617 861650)",0
S01010698,"IV22 2PF",57.60350859,-5.30445201,202588,861838,20866,"POINT(202588 861838)",0
S01010698,"IV23 2PG",57.6846573,-4.67744268,240390,869215,22517,"POINT(240390 869215)",0
S01010698,"IV23 2PH",57.68566432,-4.68293713,240067,869340,22396,"POINT(240067 869340)",0
S01010698,"IV23 2PP",57.61565596,-4.68651513,239545,861559,20868,"POINT(239545 861559)",0
S01010698,"IV23 2PQ",57.69374616,-4.7662999,235136,870439,20983,"POINT(235136 870439)",0
S01010688,"IV22 2AG",57.53015846,-5.53044711,188669,854360,10557,"POINT(188669 854360)",0
S01010688,"IV22 2ES",57.55255253,-5.33764383,200327,856267,19548,"POINT(200327 856267)",0
S01010688,"IV22 2ET",57.5511064,-5.45907358,193058,856470,13556,"POINT(193058 856470)",0
S01010688,"IV22 2EU",57.53241118,-5.51481862,189617,854562,10949,"POINT(189617 854562)",0
S01010688,"IV22 2EW",57.54414392,-5.50513099,190264,855837,11491,"POINT(190264 855837)",0
S01010688,"IV22 2EX",57.52975403,-5.5352552,188379,854330,10498,"POINT(188379 854330)",1
S01010688,"IV22 2EY",57.52902905,-5.52711198,188862,854224,10621,"POINT(188862 854224)",0
S01010688,"IV22 2EZ",57.54760546,-5.51223641,189859,856244,11422,"POINT(189859 856244)",0
S01010688,"IV22 2HA",57.55586504,-5.56363028,186834,857323,11120,"POINT(186834 857323)",0
S01010688,"IV22 2HB",57.55658417,-5.60193915,184548,857524,11176,"POINT(184548 857524)",0
S01010688,"IV22 2HD",57.55779963,-5.62698412,183058,857739,11479,"POINT(183058 857739)",0
S01010688,"IV22 2HE",57.57987793,-5.6869982,179604,860388,13830,"POINT(179604 860388)",0
S01010688,"IV54 8AB",57.40273481,-5.60485015,183465,840422,14860,"POINT(183465 840422)",0
S01010688,"IV54 8LN",57.43243732,-5.81014853,171326,844398,13968,"POINT(171326 844398)",0
S01010688,"IV54 8LP",57.41270949,-5.81279595,171044,842213,14703,"POINT(171044 842213)",0
S01010688,"IV54 8LQ",57.40765512,-5.81311981,170993,841652,15025,"POINT(170993 841652)",0
S01010688,"IV54 8LR",57.4324571,-5.8151356,171027,844417,14109,"POINT(171027 844417)",0
S01010688,"IV54 8LS",57.42700239,-5.81946826,170733,843825,14369,"POINT(170733 843825)",0
S01010688,"IV54 8LT",57.41320222,-5.81937934,170652,842290,14884,"POINT(170652 842290)",0
S01010688,"IV54 8LU",57.40896604,-5.81258975,171033,841796,14917,"POINT(171033 841796)",0
S01010530,"PH34 4DW",56.9611085,-4.90541453,223366,789279,10493,"POINT(223366 789279)",0
S01010530,"PH34 4DX",56.91249332,-4.94008796,221026,783961,12545,"POINT(221026 783961)",0
S01010530,"PH34 4DY",56.95310559,-4.9174916,222594,788420,10717,"POINT(222594 788420)",0
S01010530,"PH34 4DZ",56.97562098,-4.88387871,224743,790838,10337,"POINT(224743 790838)",1
S01010530,"PH34 4EA",57.03231074,-4.81533883,229167,796971,10685,"POINT(229167 796971)",0
S01010530,"PH34 4EB",57.03848343,-4.81465183,229237,797656,10728,"POINT(229237 797656)",0
S01010530,"PH34 4EE",56.89470149,-4.91564435,222429,781918,13710,"POINT(222429 781918)",0
S01010530,"PH34 4EG",56.90063602,-4.94697533,220550,782660,13395,"POINT(220550 782660)",0
S01010530,"PH34 4EJ",56.94572332,-4.98157159,218663,787767,11958,"POINT(218663 787767)",0
S01010530,"PH34 4EL",56.98093849,-5.18764044,206318,792250,19837,"POINT(206318 792250)",0
S01010530,"PH34 4EQ",56.91064397,-4.98546082,218256,783875,13520,"POINT(218256 783875)",0
S01010530,"PH34 4EW",56.89420954,-4.92015576,222152,781875,13736,"POINT(222152 781875)",0
S01010530,"PH35 4AA",57.06979357,-4.7944651,230604,801089,11768,"POINT(230604 801089)",0
S01010530,"PH35 4HA",57.06823651,-4.80018946,230250,800930,11559,"POINT(230250 800930)",0
S01010530,"PH35 4HB",57.06871736,-4.7991861,230313,800981,11599,"POINT(230313 800981)",0
S01010530,"PH35 4HD",57.10423821,-5.38456245,195039,806540,32226,"POINT(195039 806540)",0
S01010530,"PH35 4HG",57.06906561,-4.81612663,229288,801062,11535,"POINT(229288 801062)",0
S01010530,"PH35 4HH",57.06913745,-4.80210556,230138,801035,11584,"POINT(230138 801035)",0
S01010530,"PH35 4HJ",57.06993139,-4.7931223,230686,801101,11816,"POINT(230686 801101)",0
S01010530,"PH35 4HL",57.07103198,-4.78244541,231338,801197,12270,"POINT(231338 801197)",0
S01010508,"PA80 5LQ",56.53939291,-5.77393367,168005,744964,75327,"POINT(168005 744964)",0
S01010508,"PA80 5QB",56.56276792,-5.54433777,182246,746811,83606,"POINT(182246 746811)",0
S01010508,"PA80 5UU",56.97986943,-7.41112443,71339,800640,48807,"POINT(71339 800640)",0
S01010508,"PA80 5UY",56.99623864,-7.40122069,72084,802411,49453,"POINT(72084 802411)",0
S01010508,"PA80 5UZ",56.95226683,-7.48667423,66509,797940,48680,"POINT(66509 797940)",0
S01010508,"PA80 5XB",56.9561963,-7.49351363,66129,798410,48735,"POINT(66129 798410)",0
S01010508,"PA80 5XD",56.95560042,-7.48864816,66419,798320,48646,"POINT(66419 798320)",1
S01010508,"PA80 5XE",56.95330858,-7.4957233,65969,798100,48842,"POINT(65969 798100)",0
S01010508,"PA80 5XF",56.9561963,-7.49351363,66129,798410,48735,"POINT(66129 798410)",0
S01010508,"PA80 5XG",56.57029434,-5.7530687,169475,748330,74876,"POINT(169475 748330)",0
S01010508,"PA80 5XP",56.95394467,-7.49762929,65859,798180,48894,"POINT(65859 798180)",0
S01010508,"PA80 5XR",56.98018462,-7.50678234,65539,801140,49759,"POINT(65539 801140)",0
S01010508,"PA80 5XS",56.98612808,-7.49447207,66339,801740,49662,"POINT(66339 801740)",0
S01010508,"PA80 5XT",56.99775397,-7.49619045,66339,803040,50400,"POINT(66339 803040)",0
S01010508,"PA80 5XU",56.54539891,-5.83820065,164094,745851,73264,"POINT(164094 745851)",0
S01010508,"PA80 5XW",56.97073537,-7.51692068,64839,800140,49855,"POINT(64839 800140)",0
S01010508,"PA80 5XY",56.60993127,-5.97577172,156060,753508,68221,"POINT(156060 753508)",0
S01010508,"PA80 5XZ",56.60833054,-5.97323866,156205,753321,68297,"POINT(156205 753321)",0
S01010508,"PH33 7AA",56.72386245,-5.24591443,201421,763822,95314,"POINT(201421 763822)",0
S01010508,"PH33 7AB",56.71722488,-5.27074982,199867,763156,94021,"POINT(199867 763156)",0
S01010504,"PH36 4JG",56.68812059,-5.94693985,158329,762100,12437,"POINT(158329 762100)",0
S01010504,"PH36 4JN",56.71454129,-5.77895251,168771,764458,18421,"POINT(168771 764458)",0
S01010504,"PH36 4JP",56.67841816,-5.89699205,161324,760846,13799,"POINT(161324 760846)",0
S01010504,"PH36 4JQ",56.6830788,-5.82419233,165809,761113,16428,"POINT(165809 761113)",0
S01010504,"PH36 4JS",56.66113313,-5.87340513,162659,758842,15280,"POINT(162659 758842)",0
S01010504,"PH36 4JW",56.68079118,-5.86619438,163224,761003,14705,"POINT(163224 761003)",0
S01010504,"PH36 4LG",56.75963207,-6.02317011,154132,770323,12000,"POINT(154132 770323)",0
S01010504,"PH36 4LH",56.69900058,-6.1010274,148973,763864,10583,"POINT(148973 763864)",1
S01010504,"PH36 4LJ",56.69390808,-6.09426135,149353,763273,10743,"POINT(149353 763273)",0
S01010504,"PH36 4LL",56.69404281,-6.12584019,147422,763404,11280,"POINT(147422 763404)",0
S01010504,"PH36 4LN",56.73310155,-6.18944265,143797,767983,13191,"POINT(143797 767983)",0
S01010504,"PH36 4LP",56.69947242,-6.10526397,148717,763932,10608,"POINT(148717 763932)",0
S01010504,"PH36 4LQ",56.70191723,-6.11864286,147915,764253,10854,"POINT(147915 764253)",0
S01010504,"PH36 4LW",56.74393429,-6.17246492,144908,769124,12781,"POINT(144908 769124)",0
S01010504,"PH36 4YF",56.6980002,-6.10572466,148679,763770,10649,"POINT(148679 763770)",0
S01010504,"PH41 2RP",56.83571866,-6.22588942,142275,779529,18685,"POINT(142275 779529)",0
S01010504,"PH42 4RL",56.9020877,-6.14167234,147855,786594,21901,"POINT(147855 786594)",0
S01010504,"PH43 4RR",57.01562895,-6.2804253,140206,799738,34562,"POINT(140206 799738)",0
S01007288,"PA62 6AA",56.35939682,-5.85039149,162185,725210,13922,"POINT(162185 725210)",0
S01007288,"PA63 6AH",56.38189578,-5.71472358,170695,727251,15290,"POINT(170695 727251)",0
S01007288,"PA64 6AP",56.43793295,-5.68503474,172861,733384,14664,"POINT(172861 733384)",0
S01007288,"PA65 6AY",56.46610874,-5.69762725,172254,736559,14123,"POINT(172254 736559)",0
S01007288,"PA65 6AZ",56.46737215,-5.69898483,172178,736704,14091,"POINT(172178 736704)",0
S01007288,"PA65 6BA",56.50638998,-5.8071917,165758,741407,14697,"POINT(165758 741407)",0
S01007288,"PA65 6BB",56.47679632,-5.71402314,171309,737802,13843,"POINT(171309 737802)",0
S01007288,"PA65 6BD",56.40908489,-5.75542878,168349,730411,13222,"POINT(168349 730411)",1
S01007288,"PA65 6BE",56.47860219,-5.71317599,171372,738000,13930,"POINT(171372 738000)",0
S01007288,"PA65 6BG",56.47913214,-5.71379656,171337,738061,13938,"POINT(171337 738061)",0
S01007288,"PA65 6BH",56.47958914,-5.71475128,171281,738115,13941,"POINT(171281 738115)",0
S01007288,"PA68 6EH",56.42025865,-6.1378125,144852,733008,16740,"POINT(144852 733008)",0
S01007288,"PA68 6EJ",56.43943852,-6.13148906,145370,735117,16824,"POINT(145370 735117)",0
S01007288,"PA68 6EL",56.4425546,-6.15691519,143825,735558,18015,"POINT(143825 735558)",0
S01007288,"PA69 6ER",56.38179607,-6.05664637,149601,728433,14168,"POINT(149601 728433)",0
S01007288,"PA69 6ES",56.37788427,-6.07607061,148377,728069,14809,"POINT(148377 728069)",0
S01007288,"PA69 6ET",56.39000423,-6.07127052,148753,729399,14385,"POINT(148753 729399)",0
S01007288,"PA69 6EU",56.36889186,-6.14991691,143761,727342,18102,"POINT(143761 727342)",0
S01007288,"PA70 6HB",56.37434729,-6.00616032,152667,727422,13572,"POINT(152667 727422)",0
S01007288,"PA70 6HD",56.32712192,-5.98804436,153480,722106,15935,"POINT(153480 722106)",0
